r_cm,E_Vcm,alpha_invcm,phi_w
0.0006,0,0,1.08508
0.00060985,0,0,1.08237
0.0006197,0,0,1.0797
0.00062955,0,0,1.07707
0.0006394,0,0,1.07449
0.00064925,0,0,1.07194
0.0006591,0,0,1.06943
0.00066895,0,0,1.06696
0.0006788,0,0,1.06453
0.00068865,0,0,1.06213
0.0006985,0,0,1.05976
0.00070835,0,0,1.05743
0.0007182,0,0,1.05513
0.00072805,0,0,1.05286
0.0007379,0,0,1.05062
0.00074775,0,0,1.04841
0.0007576,0,0,1.04623
0.00076745,0,0,1.04408
0.0007773,0,0,1.04196
0.00078715,0,0,1.03986
0.000797,0,0,1.03779
0.00080685,0,0,1.03574
0.0008167,0,0,1.03372
0.00082655,0,0,1.03173
0.0008364,0,0,1.02975
0.00084625,0,0,1.0278
0.0008561,0,0,1.02588
0.00086595,0,0,1.02397
0.0008758,0,0,1.02209
0.00088565,0,0,1.02023
0.0008955,0,0,1.01838
0.00090535,0,0,1.01656
0.0009152,0,0,1.01476
0.00092505,0,0,1.01298
0.0009349,0,0,1.01121
0.00094475,0,0,1.00947
0.0009546,0,0,1.00774
0.00096445,0,0,1.00603
0.0009743,0,0,1.00434
0.00098415,0,0,1.00266
0.000994,0,0,1.001
0.00100385,118579,2464.05,0.999361
0.0010137,117427,2445.36,0.997735
0.00102355,116297,2427.03,0.996124
0.0010334,115188,2409.04,0.994529
0.00104325,114101,2391.39,0.992949
0.0010531,113034,2374.08,0.991384
0.00106295,111987,2357.09,0.989833
0.0010728,110959,2340.4,0.988297
0.00108265,109949,2324.02,0.986775
0.0010925,108958,2307.94,0.985267
0.00110235,107985,2292.14,0.983772
0.0011122,107029,2276.63,0.98229
0.00112205,106089,2261.39,0.980822
0.0011319,105166,2246.41,0.979366
0.00114175,104259,2231.69,0.977923
0.0011516,103368,2217.22,0.976492
0.00116145,102491,2203,0.975074
0.0011713,101630,2189.01,0.973667
0.00118115,100782,2175.26,0.972273
0.001191,99948.9,2162.05,0.970889
0.00120085,99129.3,2153.57,0.969518
0.0012107,98323,2144.9,0.968157
0.00122055,97529.7,2136.07,0.966808
0.0012304,96749.1,2127.08,0.965469
0.00124025,95980.9,2117.95,0.964141
0.0012501,95224.8,2108.7,0.962824
0.00125995,94480.6,2099.34,0.961516
0.0012698,93747.9,2089.89,0.96022
0.00127965,93026.5,2080.34,0.958933
0.0012895,92316.1,2070.71,0.957656
0.00129935,91616.4,2061.02,0.956388
0.0013092,90927.3,2051.28,0.95513
0.00131905,90248.5,2041.48,0.953882
0.0013289,89579.8,2031.64,0.952643
0.00133875,88920.9,2021.78,0.951413
0.0013486,88271.6,2011.89,0.950192
0.00135845,87631.8,2001.98,0.94898
0.0013683,87001.1,1992.06,0.947777
0.00137815,86379.5,1982.13,0.946582
0.001388,85766.7,1972.21,0.945396
0.00139785,85162.5,1962.3,0.944218
0.0014077,84566.8,1952.39,0.943049
0.00141755,83979.4,1942.5,0.941888
0.0014274,83400.1,1932.64,0.940734
0.00143725,82828.7,1922.8,0.939589
0.0014471,82265.1,1912.98,0.938452
0.00145695,81709.1,1903.2,0.937322
0.0014668,81160.6,1893.46,0.9362
0.00147665,80619.4,1883.76,0.935085
0.0014865,80085.4,1874.09,0.933978
0.00149635,79558.4,1864.47,0.932878
0.0015062,79038.3,1854.9,0.931785
0.00151605,78525,1845.38,0.930699
0.0015259,78018.3,1835.91,0.929621
0.00153575,77518.1,1826.49,0.928549
0.0015456,77024.3,1817.13,0.927484
0.00155545,76536.7,1807.82,0.926426
0.0015653,76055.3,1798.57,0.925375
0.00157515,75579.8,1789.39,0.92433
0.001585,75110.3,1780.26,0.923292
0.00159485,74646.7,1771.19,0.92226
0.0016047,74188.6,1762.19,0.921235
0.00161455,73736.2,1753.25,0.920216
0.0016244,73289.3,1744.38,0.919203
0.00163425,72847.8,1735.57,0.918196
0.0016441,72411.5,1726.83,0.917195
0.00165395,71980.5,1718.15,0.9162
0.0016638,71554.5,1709.54,0.915211
0.00167365,71133.6,1701,0.914228
0.0016835,70717.6,1692.52,0.913251
0.00169335,70306.4,1684.12,0.91228
0.0017032,69900,1675.78,0.911314
0.00171305,69498.3,1667.58,0.910353
0.0017229,69101.2,1660.61,0.909398
0.00173275,68708.5,1653.64,0.908449
0.0017426,68320.4,1646.68,0.907505
0.00175245,67936.5,1639.71,0.906566
0.0017623,67557,1632.75,0.905633
0.00177215,67181.7,1625.79,0.904704
0.001782,66810.6,1618.85,0.903781
0.00179185,66443.5,1611.91,0.902863
0.0018017,66080.4,1604.99,0.90195
0.00181155,65721.3,1598.09,0.901042
0.0018214,65366.1,1591.19,0.900139
0.00183125,65014.7,1584.32,0.899241
0.0018411,64667.1,1577.47,0.898347
0.00185095,64323.1,1570.64,0.897459
0.0018608,63982.8,1563.83,0.896575
0.00187065,63646.1,1557.05,0.895696
0.0018805,63312.9,1550.29,0.894821
0.00189035,62983.2,1543.55,0.893951
0.0019002,62656.9,1536.85,0.893085
0.00191005,62334,1530.17,0.892224
0.0019199,62014.4,1523.52,0.891368
0.00192975,61698,1516.91,0.890515
0.0019396,61384.9,1510.32,0.889667
0.00194945,61074.9,1503.77,0.888824
0.0019593,60768.1,1497.24,0.887984
0.00196915,60464.3,1490.75,0.887149
0.001979,60163.6,1484.3,0.886318
0.00198885,59865.8,1477.88,0.885491
0.0019987,59571,1471.49,0.884669
0.00200855,59279,1465.14,0.88385
0.0020184,58989.9,1458.83,0.883035
0.00202825,58703.6,1452.55,0.882224
0.0020381,58420.1,1446.31,0.881417
0.00204795,58139.3,1440.11,0.880615
0.0020578,57861.2,1433.94,0.879815
0.00206765,57585.8,1427.81,0.87902
0.0020775,57312.9,1421.72,0.878229
0.00208735,57042.7,1415.67,0.877441
0.0020972,56774.9,1409.66,0.876657
0.00210705,56509.7,1403.68,0.875876
0.0021169,56247,1397.74,0.8751
0.00212675,55986.7,1391.85,0.874327
0.0021366,55728.8,1385.99,0.873557
0.00214645,55473.2,1380.17,0.872791
0.0021563,55220,1374.39,0.872029
0.00216615,54969.1,1368.64,0.87127
0.002176,54720.5,1362.94,0.870514
0.00218585,54474.1,1357.28,0.869762
0.0021957,54229.9,1351.65,0.869013
0.00220555,53987.9,1346.06,0.868268
0.0022154,53748,1340.52,0.867525
0.00222525,53510.3,1335.01,0.866787
0.0022351,53274.7,1329.54,0.866051
0.00224495,53041.1,1324.11,0.865319
0.0022548,52809.6,1318.71,0.86459
0.00226465,52580.1,1313.36,0.863864
0.0022745,52352.6,1308.05,0.863141
0.00228435,52127.1,1302.77,0.862421
0.0022942,51903.5,1297.53,0.861705
0.00230405,51681.8,1292.33,0.860991
0.0023139,51462,1287.17,0.860281
0.00232375,51244,1282.04,0.859573
0.0023336,51027.9,1276.95,0.858869
0.00234345,50813.6,1271.9,0.858167
0.0023533,50601.1,1266.89,0.857469
0.00236315,50390.4,1261.91,0.856773
0.002373,50181.4,1256.97,0.85608
0.00238285,49974.2,1252.07,0.855391
0.0023927,49768.6,1247.2,0.854704
0.00240255,49564.8,1242.37,0.854019
0.0024124,49362.6,1237.58,0.853338
0.00242225,49162.1,1232.82,0.852659
0.0024321,48963.2,1228.09,0.851984
0.00244195,48765.9,1223.41,0.85131
0.0024518,48570.1,1218.75,0.85064
0.00246165,48376,1214.13,0.849972
0.0024715,48183.4,1209.8,0.849307
0.00248135,47992.3,1205.56,0.848645
0.0024912,47802.7,1201.31,0.847985
0.00250105,47614.7,1197.07,0.847328
0.0025109,47428.1,1192.83,0.846673
0.00252075,47242.9,1188.6,0.846021
0.0025306,47059.2,1184.37,0.845372
0.00254045,46877,1180.15,0.844725
0.0025503,46696.1,1175.93,0.84408
0.00256015,46516.6,1171.72,0.843438
0.00257,46338.6,1167.51,0.842799
0.00257985,46161.8,1163.31,0.842162
