r_cm,E_Vcm,alpha_invcm,phi_w
0.00204795,58125.3,1439.8,0.880484
0.0020578,57847.3,1433.63,0.879684
0.00206765,57571.9,1427.51,0.878888
0.0020775,57299.1,1421.42,0.878095
0.00208735,57028.9,1415.36,0.877307
0.0020972,56761.3,1409.35,0.876522
0.00210705,56496.1,1403.37,0.875741
0.0021169,56233.4,1397.44,0.874963
0.00212675,55973.2,1391.54,0.874189
0.0021366,55715.3,1385.68,0.873419
0.00214645,55459.8,1379.86,0.872652
0.0021563,55206.7,1374.08,0.871888
0.00216615,54955.8,1368.34,0.871129
0.002176,54707.3,1362.64,0.870372
0.00218585,54460.9,1356.97,0.869619
0.0021957,54216.8,1351.35,0.86887
0.00220555,53974.9,1345.76,0.868123
0.0022154,53735.1,1340.22,0.86738
0.00222525,53497.4,1334.71,0.866641
0.0022351,53261.9,1329.24,0.865904
0.00224495,53028.4,1323.81,0.865171
0.0022548,52796.9,1318.42,0.864441
0.00226465,52567.5,1313.06,0.863715
0.0022745,52340,1307.75,0.862991
0.00228435,52114.5,1302.47,0.862271
0.0022942,51890.9,1297.24,0.861553
0.00230405,51669.3,1292.04,0.860839
0.0023139,51449.5,1286.87,0.860128
0.00232375,51231.6,1281.75,0.85942
0.0023336,51015.6,1276.66,0.858714
0.00234345,50801.4,1271.61,0.858012
0.0023533,50588.9,1266.6,0.857313
0.00236315,50378.2,1261.62,0.856616
0.002373,50169.3,1256.69,0.855923
0.00238285,49962.1,1251.78,0.855232
0.0023927,49756.6,1246.92,0.854545
0.00240255,49552.8,1242.09,0.85386
0.0024124,49350.7,1237.29,0.853177
0.00242225,49150.2,1232.54,0.852498
0.0024321,48951.4,1227.81,0.851822
0.00244195,48754.1,1223.13,0.851148
0.0024518,48558.4,1218.47,0.850477
0.00246165,48364.3,1213.86,0.849808
0.0024715,48171.8,1209.55,0.849142
0.00248135,47980.7,1205.3,0.848479
0.0024912,47791.2,1201.05,0.847819
0.00250105,47603.2,1196.81,0.847161
0.0025109,47416.6,1192.57,0.846505
0.00252075,47231.5,1188.34,0.845853
0.0025306,47047.9,1184.11,0.845202
0.00254045,46865.7,1179.88,0.844555
0.0025503,46684.9,1175.66,0.84391
0.00256015,46505.4,1171.45,0.843267
0.00257,46327.4,1167.25,0.842627
0.00257985,46150.7,1163.05,0.841989
0.0025897,45975.4,1158.86,0.841354
0.00259955,45801.3,1154.68,0.840721
0.0026094,45628.6,1150.51,0.84009
0.00261925,45457.2,1146.35,0.839462
0.0026291,45287.1,1142.2,0.838836
0.00263895,45118.3,1138.06,0.838213
0.0026488,44950.7,1133.94,0.837592
0.00265865,44784.4,1129.82,0.836973
0.0026685,44619.2,1125.72,0.836356
0.00267835,44455.3,1121.62,0.835742
0.0026882,44292.6,1117.55,0.83513
0.00269805,44131.1,1113.48,0.83452
0.0027079,43970.8,1109.43,0.833913
0.00271775,43811.6,1105.39,0.833307
0.0027276,43653.6,1101.37,0.832704
0.00273745,43496.7,1097.36,0.832103
0.0027473,43341,1093.36,0.831504
0.00275715,43186.3,1089.38,0.830908
0.002767,43032.8,1085.42,0.830313
0.00277685,42880.3,1081.47,0.829721
0.0027867,42729,1077.53,0.82913
0.00279655,42578.6,1073.61,0.828542
0.0028064,42429.4,1069.71,0.827956
0.00281625,42281.2,1065.83,0.827372
0.0028261,42134,1061.96,0.82679
0.00283595,41987.9,1058.1,0.82621
0.0028458,41842.7,1054.26,0.825632
0.00285565,41698.6,1050.44,0.825056
0.0028655,41555.4,1046.64,0.824481
0.00287535,41413.3,1042.85,0.823909
0.0028852,41272.1,1039.08,0.823339
0.00289505,41131.9,1035.33,0.822771
0.0029049,40992.6,1031.6,0.822205
0.00291475,40854.3,1027.88,0.82164
0.0029246,40716.9,1024.18,0.821078
0.00293445,40580.4,1020.5,0.820517
0.0029443,40444.8,1016.83,0.819959
0.00295415,40310.1,1013.18,0.819402
0.002964,40176.4,1009.56,0.818847
0.00297385,40043.5,1005.94,0.818294
0.0029837,39911.5,1002.35,0.817743
0.00299355,39780.4,998.773,0.817193
0.0030034,39650.1,995.215,0.816645
0.00301325,39520.7,991.675,0.8161
0.0030231,39392.1,988.153,0.815555
0.00303295,39264.4,984.649,0.815013
0.0030428,39137.4,981.162,0.814473
0.00305265,39011.4,977.694,0.813934
0.0030625,38886.1,974.244,0.813397
0.00307235,38761.6,970.811,0.812861
0.0030822,38637.9,967.397,0.812328
0.00309205,38515,964,0.811796
0.0031019,38392.9,960.622,0.811265
0.00311175,38271.6,957.261,0.810737
0.0031216,38151,953.919,0.81021
0.00313145,38031.2,950.594,0.809685
0.0031413,37912.1,947.287,0.809161
0.00315115,37793.8,943.998,0.808639
0.003161,37676.2,940.727,0.808119
0.00317085,37559.4,937.474,0.8076
0.0031807,37443.3,934.238,0.807083
0.00319055,37327.9,931.02,0.806568
0.0032004,37213.2,927.82,0.806054
0.00321025,37099.2,924.637,0.805541
0.0032201,36985.9,921.472,0.805031
0.00322995,36873.3,918.325,0.804522
0.0032398,36761.4,915.195,0.804014
0.00324965,36650.2,912.082,0.803508
0.0032595,36539.6,908.986,0.803003
0.00326935,36429.7,905.908,0.8025
0.0032792,36320.5,902.847,0.801999
0.00328905,36211.9,899.804,0.801499
0.0032989,36104,896.777,0.801
0.00330875,35996.7,893.767,0.800503
0.0033186,35890,890.775,0.800008
0.00332845,35784,887.799,0.799513
0.0033383,35678.6,884.84,0.799021
0.00334815,35573.8,881.898,0.79853
0.003358,35469.7,878.973,0.79804
0.00336785,35366.1,876.064,0.797552
0.0033777,35263.2,873.172,0.797065
0.00338755,35160.9,870.296,0.796579
0.0033974,35059.1,867.437,0.796095
0.00340725,34958,864.594,0.795613
0.0034171,34857.4,861.767,0.795131
0.00342695,34757.4,858.956,0.794651
0.0034368,34658,856.162,0.794173
0.00344665,34559.1,853.383,0.793696
0.0034565,34460.8,850.621,0.79322
0.00346635,34363.1,847.874,0.792746
0.0034762,34265.9,845.143,0.792273
0.00348605,34169.3,842.428,0.791801
0.0034959,34073.2,839.728,0.79133
0.00350575,33977.7,837.044,0.790861
0.0035156,33882.7,834.376,0.790394
0.00352545,33788.2,831.723,0.789927
0.0035353,33694.2,829.085,0.789462
0.00354515,33600.8,826.462,0.788998
0.003555,33507.9,824.11,0.788536
0.00356485,33415.5,821.764,0.788074
0.0035747,33323.6,819.419,0.787614
0.00358455,33232.3,817.073,0.787156
0.0035944,33141.4,814.727,0.786698
0.00360425,33051,812.382,0.786242
0.0036141,32961.1,810.037,0.785787
0.00362395,32871.7,807.693,0.785333
0.0036338,32782.8,805.35,0.784881
0.00364365,32694.4,803.008,0.784429
0.0036535,32606.4,800.668,0.783979
0.00366335,32518.9,798.329,0.783531
0.0036732,32431.9,795.993,0.783083
0.00368305,32345.4,793.658,0.782636
0.0036929,32259.3,791.326,0.782191
0.00370275,32173.7,788.996,0.781747
0.0037126,32088.5,786.669,0.781304
0.00372245,32003.8,784.345,0.780863
0.0037323,31919.5,782.023,0.780422
0.00374215,31835.7,779.705,0.779983
0.003752,31752.3,777.391,0.779544
0.00376185,31669.4,775.08,0.779107
0.0037717,31586.9,772.772,0.778671
0.00378155,31504.8,770.469,0.778237
0.0037914,31423.1,768.169,0.777803
0.00380125,31341.9,765.874,0.77737
0.0038111,31261.1,763.582,0.776939
0.00382095,31180.7,761.296,0.776509
0.0038308,31100.7,759.013,0.776079
0.00384065,31021.1,756.736,0.775651
0.0038505,30942,754.463,0.775224
0.00386035,30863.2,752.195,0.774798
0.0038702,30784.9,749.932,0.774374
0.00388005,30706.9,747.674,0.77395
0.0038899,30629.3,745.422,0.773527
0.00389975,30552.2,743.174,0.773106
0.0039096,30475.4,740.932,0.772685
0.00391945,30399,738.696,0.772266
0.0039293,30323,736.465,0.771847
0.00393915,30247.4,734.24,0.77143
0.003949,30172.1,732.021,0.771013
0.00395885,30097.2,729.808,0.770598
0.0039687,30022.7,727.601,0.770184
0.00397855,29948.6,725.399,0.769771
0.0039884,29874.8,723.204,0.769358
0.00399825,29801.4,721.015,0.768947
0.0040081,29728.4,718.832,0.768537
0.00401795,29655.7,716.656,0.768128
0.0040278,29583.3,714.486,0.76772
0.00403765,29511.4,712.323,0.767312
0.0040475,29439.7,710.165,0.766906
0.00405735,29368.5,708.015,0.766501
0.0040672,29297.5,705.871,0.766097
0.00407705,29226.9,703.734,0.765694
0.0040869,29156.7,701.604,0.765291
0.00409675,29086.8,699.48,0.76489
0.0041066,29017.2,697.363,0.76449
0.00411645,28948,695.253,0.76409
0.0041263,28879.1,693.15,0.763692
0.00413615,28810.5,691.054,0.763294
0.004146,28742.2,688.965,0.762898
0.00415585,28674.3,686.883,0.762502
0.0041657,28606.7,684.808,0.762108
0.00417555,28539.4,682.74,0.761714
0.0041854,28472.4,680.679,0.761321
0.00419525,28405.8,678.625,0.760929
0.0042051,28339.4,676.579,0.760538
0.00421495,28273.4,674.54,0.760148
0.0042248,28207.7,672.507,0.759759
0.00423465,28142.2,670.483,0.759371
0.0042445,28077.1,668.465,0.758984
0.00425435,28012.3,666.455,0.758597
0.0042642,27947.8,664.452,0.758212
0.00427405,27883.6,662.456,0.757827
0.0042839,27819.7,660.468,0.757443
0.00429375,27756,658.487,0.757061
0.0043036,27692.7,656.514,0.756679
0.00431345,27629.7,654.547,0.756297
0.0043233,27566.9,652.589,0.755917
0.00433315,27504.4,650.637,0.755538
0.004343,27442.2,648.693,0.755159
0.00435285,27380.3,646.757,0.754782
0.0043627,27318.7,644.828,0.754405
0.00437255,27257.4,642.906,0.754029
0.0043824,27196.3,640.992,0.753654
0.00439225,27135.5,639.085,0.75328
0.0044021,27075,637.185,0.752906
0.00441195,27014.7,635.293,0.752534
0.0044218,26954.7,633.409,0.752162
0.00443165,26895,631.532,0.751791
0.0044415,26835.6,629.662,0.751421
0.00445135,26776.4,627.8,0.751051
0.0044612,26717.5,625.945,0.750683
0.00447105,26658.8,624.097,0.750315
0.0044809,26600.4,622.257,0.749949
0.00449075,26542.2,620.425,0.749582
0.0045006,26484.3,618.6,0.749217
0.00451045,26426.7,616.782,0.748853
0.0045203,26369.3,614.972,0.748489
0.00453015,26312.1,613.168,0.748126
0.00454,26255.3,611.373,0.747764
0.00454985,26198.6,609.585,0.747403
0.0045597,26142.2,607.804,0.747042
