r_cm,E_Vcm,alpha_invcm,phi_w
0.00748515,17754.4,340.267,0.662149
0.007495,17731.2,339.49,0.661929
0.00750485,17708.2,338.715,0.661708
0.0075147,17685.2,337.943,0.661488
0.00752455,17662.3,337.173,0.661268
0.0075344,17639.4,336.405,0.661049
0.00754425,17616.6,335.639,0.66083
0.0075541,17593.8,334.876,0.660611
0.00756395,17571.1,334.115,0.660392
0.0075738,17548.5,333.356,0.660174
0.00758365,17525.9,332.6,0.659956
0.0075935,17503.4,331.846,0.659738
0.00760335,17480.9,331.094,0.65952
0.0076132,17458.5,330.345,0.659303
0.00762305,17436.2,329.598,0.659086
0.0076329,17413.9,328.853,0.65887
0.00764275,17391.7,328.11,0.658653
0.0076526,17369.5,327.369,0.658437
0.00766245,17347.4,326.631,0.658221
0.0076723,17325.3,325.895,0.658006
0.00768215,17303.3,325.162,0.657791
0.007692,17281.4,324.43,0.657576
0.00770185,17259.5,323.701,0.657361
0.0077117,17237.7,322.974,0.657147
0.00772155,17215.9,322.25,0.656932
0.0077314,17194.2,321.527,0.656718
0.00774125,17172.5,320.807,0.656505
0.0077511,17150.9,320.089,0.656292
0.00776095,17129.3,319.373,0.656078
0.0077708,17107.8,318.659,0.655866
0.00778065,17086.4,317.948,0.655653
0.0077905,17065,317.239,0.655441
0.00780035,17043.7,316.532,0.655229
0.0078102,17022.4,315.827,0.655017
0.00782005,17001.2,315.124,0.654806
0.0078299,16980,314.423,0.654594
0.00783975,16958.9,313.725,0.654384
0.0078496,16937.8,313.029,0.654173
0.00785945,16916.8,312.335,0.653963
0.0078693,16895.8,311.643,0.653752
0.00787915,16874.9,310.953,0.653543
0.007889,16854.1,310.266,0.653333
0.00789885,16833.3,309.58,0.653124
0.0079087,16812.5,308.897,0.652914
0.00791855,16791.8,308.215,0.652706
0.0079284,16771.2,307.536,0.652497
0.00793825,16750.6,306.859,0.652289
0.0079481,16730,306.184,0.652081
0.00795795,16709.6,305.512,0.651873
0.0079678,16689.1,304.841,0.651665
0.00797765,16668.7,304.172,0.651458
0.0079875,16648.4,303.506,0.651251
0.00799735,16628.1,302.841,0.651044
0.0080072,16607.8,302.179,0.650838
0.00801705,16587.7,301.518,0.650632
0.0080269,16567.5,300.86,0.650426
0.00803675,16547.4,300.204,0.65022
0.0080466,16527.4,299.55,0.650014
0.00805645,16507.4,298.898,0.649809
0.0080663,16487.5,298.248,0.649604
0.00807615,16467.6,297.6,0.649399
0.008086,16447.7,296.954,0.649195
0.00809585,16427.9,296.309,0.648991
0.0081057,16408.2,295.667,0.648787
0.00811555,16388.5,295.027,0.648583
0.0081254,16368.8,294.389,0.648379
0.00813525,16349.2,293.753,0.648176
0.0081451,16329.7,293.119,0.647973
0.00815495,16310.1,292.487,0.64777
0.0081648,16290.7,291.857,0.647568
0.00817465,16271.3,291.229,0.647366
0.0081845,16251.9,290.603,0.647164
0.00819435,16232.6,290.004,0.646962
0.0082042,16213.3,289.475,0.64676
0.00821405,16194.1,288.945,0.646559
0.0082239,16174.9,288.415,0.646358
0.00823375,16155.8,287.884,0.646157
0.0082436,16136.7,287.353,0.645957
0.00825345,16117.6,286.822,0.645756
0.0082633,16098.6,286.29,0.645556
0.00827315,16079.7,285.759,0.645356
0.008283,16060.8,285.226,0.645157
0.00829285,16041.9,284.694,0.644957
0.0083027,16023.1,284.161,0.644758
0.00831255,16004.3,283.628,0.644559
0.0083224,15985.6,283.095,0.644361
0.00833225,15966.9,282.562,0.644162
0.0083421,15948.3,282.028,0.643964
0.00835195,15929.7,281.495,0.643766
0.0083618,15911.1,280.961,0.643568
0.00837165,15892.6,280.427,0.643371
0.0083815,15874.2,279.893,0.643173
0.00839135,15855.7,279.359,0.642976
0.0084012,15837.4,278.825,0.64278
0.00841105,15819,278.291,0.642583
0.0084209,15800.8,277.756,0.642387
0.00843075,15782.5,277.222,0.642191
0.0084406,15764.3,276.688,0.641995
0.00845045,15746.1,276.154,0.641799
0.0084603,15728,275.62,0.641604
0.00847015,15709.9,275.085,0.641408
0.00848,15691.9,274.551,0.641213
0.00848985,15673.9,274.017,0.641019
0.0084997,15656,273.483,0.640824
0.00850955,15638.1,272.949,0.64063
0.0085194,15620.2,272.416,0.640436
0.00852925,15602.4,271.882,0.640242
0.0085391,15584.6,271.349,0.640048
0.00854895,15566.9,270.815,0.639855
0.0085588,15549.2,270.282,0.639662
0.00856865,15531.5,269.749,0.639469
0.0085785,15513.9,269.217,0.639276
0.00858835,15496.3,268.684,0.639084
0.0085982,15478.8,268.152,0.638891
0.00860805,15461.3,267.62,0.638699
0.0086179,15443.8,267.088,0.638507
0.00862775,15426.4,266.556,0.638316
0.0086376,15409,266.025,0.638124
0.00864745,15391.7,265.494,0.637933
0.0086573,15374.4,264.963,0.637742
0.00866715,15357.1,264.433,0.637551
0.008677,15339.9,263.903,0.637361
0.00868685,15322.7,263.373,0.637171
0.0086967,15305.6,262.844,0.636981
0.00870655,15288.5,262.315,0.636791
0.0087164,15271.4,261.786,0.636601
0.00872625,15254.4,261.258,0.636411
0.0087361,15237.4,260.73,0.636222
0.00874595,15220.5,260.203,0.636033
0.0087558,15203.6,259.676,0.635844
0.00876565,15186.7,259.149,0.635656
0.0087755,15169.9,258.623,0.635467
0.00878535,15153.1,258.097,0.635279
0.0087952,15136.3,257.572,0.635091
0.00880505,15119.6,257.047,0.634903
0.0088149,15102.9,256.523,0.634716
0.00882475,15086.3,255.999,0.634529
0.0088346,15069.7,255.475,0.634341
0.00884445,15053.1,254.952,0.634155
0.0088543,15036.6,254.43,0.633968
0.00886415,15020.1,253.908,0.633781
0.008874,15003.6,253.387,0.633595
0.00888385,14987.2,252.866,0.633409
0.0088937,14970.8,252.346,0.633223
0.00890355,14954.5,251.826,0.633037
0.0089134,14938.1,251.307,0.632852
0.00892325,14921.9,250.788,0.632667
0.0089331,14905.6,250.27,0.632482
0.00894295,14889.4,249.753,0.632297
0.0089528,14873.3,249.236,0.632112
0.00896265,14857.1,248.719,0.631928
0.0089725,14841,248.204,0.631743
0.00898235,14825,247.689,0.631559
0.0089922,14809,247.174,0.631375
0.00900205,14793,246.661,0.631192
0.0090119,14777,246.147,0.631008
0.00902175,14761.1,245.635,0.630825
0.0090316,14745.2,245.123,0.630642
0.00904145,14729.4,244.612,0.630459
0.0090513,14713.5,244.101,0.630277
0.00906115,14697.8,243.592,0.630094
0.009071,14682,243.082,0.629912
0.00908085,14666.3,242.574,0.62973
0.0090907,14650.6,242.066,0.629548
0.00910055,14635,241.559,0.629366
0.0091104,14619.4,241.052,0.629185
0.00912025,14603.8,240.547,0.629004
0.0091301,14588.3,240.042,0.628823
0.00913995,14572.8,239.538,0.628642
