r_cm,E_Vcm,alpha_invcm,phi_w
0.0202015,6096.03,16.6085,0.499718
0.0202113,6093.25,16.5701,0.499637
0.0202212,6090.47,16.5318,0.499556
0.020231,6087.7,16.4936,0.499475
0.0202409,6084.92,16.4554,0.499395
0.0202507,6082.15,16.4174,0.499314
0.0202606,6079.39,16.3794,0.499233
0.0202704,6076.62,16.3415,0.499153
0.0202803,6073.86,16.3037,0.499072
0.0202901,6071.1,16.266,0.498991
0.0203,6068.35,16.2284,0.498911
0.0203098,6065.6,16.1909,0.49883
0.0203197,6062.85,16.1535,0.49875
0.0203295,6060.1,16.1161,0.49867
0.0203394,6057.36,16.0788,0.498589
0.0203492,6054.61,16.0417,0.498509
0.0203591,6051.88,16.0046,0.498429
0.0203689,6049.14,15.9676,0.498348
0.0203788,6046.41,15.9307,0.498268
0.0203886,6043.68,15.8939,0.498188
0.0203985,6040.95,15.8572,0.498108
0.0204083,6038.22,15.8205,0.498028
0.0204182,6035.5,15.784,0.497948
0.020428,6032.78,15.7475,0.497868
0.0204379,6030.06,15.7111,0.497788
0.0204477,6027.35,15.6748,0.497708
0.0204576,6024.64,15.6386,0.497628
0.0204674,6021.93,15.6025,0.497548
0.0204773,6019.22,15.5664,0.497468
0.0204871,6016.52,15.5305,0.497389
0.020497,6013.82,15.4946,0.497309
0.0205068,6011.12,15.4588,0.497229
0.0205167,6008.42,15.4231,0.497149
0.0205265,6005.73,15.3875,0.49707
0.0205364,6003.04,15.352,0.49699
0.0205462,6000.35,15.3166,0.496911
0.0205561,5997.67,15.2812,0.496831
0.0205659,5994.99,15.2459,0.496752
0.0205758,5992.31,15.2108,0.496672
0.0205856,5989.63,15.1756,0.496593
0.0205955,5986.96,15.1406,0.496514
0.0206053,5984.28,15.1057,0.496434
0.0206152,5981.62,15.0708,0.496355
0.020625,5978.95,15.0361,0.496276
0.0206349,5976.29,15.0014,0.496197
0.0206447,5973.62,14.9668,0.496117
0.0206546,5970.97,14.9323,0.496038
0.0206644,5968.31,14.8978,0.495959
0.0206743,5965.66,14.8635,0.49588
0.0206841,5963.01,14.8292,0.495801
0.020694,5960.36,14.795,0.495722
0.0207038,5957.71,14.7609,0.495643
0.0207137,5955.07,14.7269,0.495564
0.0207235,5952.43,14.693,0.495485
0.0207334,5949.79,14.6591,0.495407
0.0207432,5947.16,14.6253,0.495328
0.0207531,5944.53,14.5916,0.495249
0.0207629,5941.9,14.558,0.49517
0.0207728,5939.27,14.5245,0.495092
0.0207826,5936.64,14.4911,0.495013
0.0207925,5934.02,14.4577,0.494934
0.0208023,5931.4,14.4244,0.494856
0.0208122,5928.79,14.3912,0.494777
0.020822,5926.17,14.3581,0.494699
0.0208319,5923.56,14.325,0.49462
0.0208417,5920.95,14.292,0.494542
0.0208516,5918.34,14.2591,0.494464
0.0208614,5915.74,14.2263,0.494385
0.0208713,5913.14,14.1936,0.494307
0.0208811,5910.54,14.161,0.494229
0.020891,5907.94,14.1284,0.494151
0.0209008,5905.35,14.0959,0.494072
0.0209107,5902.76,14.0635,0.493994
0.0209205,5900.17,14.0311,0.493916
0.0209304,5897.58,13.9989,0.493838
0.0209402,5895,13.9667,0.49376
0.0209501,5892.42,13.9346,0.493682
0.0209599,5889.84,13.9026,0.493604
0.0209698,5887.26,13.8706,0.493526
0.0209796,5884.69,13.8388,0.493448
0.0209895,5882.12,13.807,0.49337
0.0209993,5879.55,13.7753,0.493293
0.0210092,5876.98,13.7436,0.493215
0.021019,5874.42,13.7121,0.493137
0.0210289,5871.86,13.6806,0.493059
0.0210387,5869.3,13.6492,0.492982
0.0210486,5866.74,13.6179,0.492904
0.0210584,5864.19,13.5866,0.492826
0.0210683,5861.64,13.5554,0.492749
0.0210781,5859.09,13.5243,0.492671
0.021088,5856.54,13.4933,0.492594
0.0210978,5854,13.4624,0.492516
0.0211077,5851.46,13.4315,0.492439
0.0211175,5848.92,13.4007,0.492362
0.0211274,5846.38,13.37,0.492284
0.0211372,5843.85,13.3393,0.492207
0.0211471,5841.31,13.3088,0.49213
